id, name, category, price, aisle, bin
324,gtr,543,53.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
23,grtrt,354,5.0,5,43
